Bacajaí,unclassified orbivirus,Orbivirus,Reoviridae,-,18/09/1988,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Bacuri,unclassified orbivirus,Orbivirus,Reoviridae,-,/07/1986,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Bagaza ,Bagaza virus,Flavivirus,Flaviviridae,BAGV,31/03/1966,ssRNA(+),enveloped,tbc,10941,mosquito-borne-virus,Culex perfuscus,tbc,CNS,unk,yes,yes,1,sporadic,"Central African Republic, Cameroun, Senegal",tbc,yes,unk,unk,6,tbc,2
Bahig ,Tete orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BAHV,02/09/1966,ssRNA(-),enveloped,tbc,12252,unk,unk,tbc,unk,unk,unk,unk,unk,unk,"Egypt, Cyprus, Italy",tbc,yes,unk,unk,3,tbc,2
Bakau ,Bakau orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BAKV,25/01/1956,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex spp.,tbc,unk,unk,unk,unk,unk,unk,"Malaysia, Pakistan",tbc,yes,unk,unk,4,tbc,2
Baku ,unclassified orbivirus,Orbivirus,Reoviridae,BAKUV,27/04/1970,dsRNA,non-enveloped,tbc,14294,tick-borne-virus,Ornithodoros capensis,tbc,unk,unk,unk,unk,unk,unk,Russia,tbc,unk,unk,unk,unk,tbc,2
Balbina,unclassified orbivirus,Orbivirus,Reoviridae,-,30/04/1988,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
"Balkan  ",Naples phlebovirus,Phlebovirus,Phenuiviridae,BALKV,27/08/2014,ssRNA(-),enveloped,tbc,573,sandfly-borne-virus,Phlebotomus spp.,tbc,unk,unk,unk,unk,unk,unk,Albania,tbc,?,?,?,?,tbc,unk
Bandia ,Qalyub orthonairovirus,Orthonairovirus,Nairoviridae,BDAV,26/02/1965,ssRNA(-),enveloped,tbc,17955,tick-borne-virus,Ornithodoros sp.,tbc,unk,unk,unk,unk,unk,unk,Senegal,tbc,unk,unk,unk,unk,tbc,2
Bangoran ,unclassified rhabdovirus,unk,Rhabdoviridae,BGNV,27/07/1969,ssRNA(-),enveloped,tbc,408,mosquito-borne-virus,Culex perfuscus,tbc,unk,unk,unk,unk,unk,unk,Central African Republic,tbc,unk,unk,unk,unk,tbc,2
